file,E_label,E_gupta,Fmax_gupta,E_sc,Fmax_sc,Delta_gupta,Delta_sc,E_gupta_aligned,Delta_gupta_aligned,E_sc_aligned,Delta_sc_aligned
0.xyz,-1547.657785,-1.747689563633228,0.14222159799130105,-4687.292908145856,78.8259389860279,-1545.9100954363669,3139.6351231458557,-1548.916015057158,1.258230057157789,-1550.4241419277273,2.7663569277272018
1.xyz,-1552.612539,-1.9151088442974398,0.1605124790408283,-4721.578426069054,206.16179761163573,-1550.6974301557025,3168.9658870690546,-1552.1871927141865,-0.42534628581347533,-1550.8754826332904,-1.7370563667095666
2.xyz,-1549.729217,-1.8169311742925371,0.13653493691665222,-4789.897694790356,43.40194965660419,-1547.9122858257076,3240.1684777903556,-1550.2689154448958,0.5396984448957483,-1551.7748497368384,2.0456327368383427
3.xyz,-1551.848471,-1.804881871865552,0.1577643028558988,-4699.908015292989,92.09957091835838,-1550.0435891281345,3148.059544292989,-1550.033486116054,-1.8149848839459537,-1550.5902094601852,-1.2582615398148391
4.xyz,-1551.374441,-1.83402171416245,0.1508960867763891,-4761.978898038215,121.74942043514083,-1549.5404192858375,3210.6044570382155,-1550.602844679015,-0.7715963209848269,-1551.4073216903666,0.03288069036671004
5.xyz,-1549.266626,-1.6906016370785644,0.14515041709571666,-4589.237786412077,68.85541786282884,-1547.5760243629215,3039.971160412077,-1547.8005834946114,-1.4660425053887138,-1549.1333267232865,-0.13329927671361474
6.xyz,-1551.374442,-1.8338695165553782,0.1508964792654797,-4762.164514608787,121.45540909412426,-1549.5405724834447,3210.7900726087864,-1550.599870915123,-0.7745710848771523,-1551.409765180184,0.035323180183922886
7.xyz,-1554.235126,-1.9279358895672494,0.16133553707614767,-4836.281406589584,98.97118411753176,-1552.3071901104329,3282.0462805895836,-1552.4378182319037,-1.7973077680962888,-1552.3854532358723,-1.8496727641277175
8.xyz,-1548.082634,-1.7746451843298128,0.14002160806624486,-4607.747779638289,166.29331843896964,-1546.3079888156703,3059.665145638289,-1549.442696475237,1.360062475236873,-1549.3769955930816,1.2943615930814758
9.xyz,-1554.810396,-2.056855970528136,0.16134851203330647,-5007.439386752601,132.51205319098136,-1552.7535400294719,3452.6289907526016,-1554.9567663883433,0.14637038834325722,-1554.638607576506,-0.17178842349403567
10.xyz,-1555.417784,-2.0776401592837734,0.1716957696639549,-5002.872597826292,169.448526413423,-1553.340143840716,3447.4548138262917,-1555.362865217625,-0.054918782374898,-1554.5784895482245,-0.8392944517754586
11.xyz,-1554.756643,-2.0491849556305484,0.1606900495323957,-4955.501254394743,152.0951428117221,-1552.7074580443693,3400.7446113947435,-1554.8068836959787,0.05024069597880043,-1553.9548846892935,-0.8017583107064183
12.xyz,-1554.008166,-2.033313897815628,0.16248302028971306,-4959.32595006058,144.43723017642031,-1551.9748521021845,3405.31778406058,-1554.4967817201991,0.48861572019905,-1554.005233668832,-0.0029323311680400366
13.xyz,-1554.128204,-1.969679045883702,0.1542033396915483,-4950.132463371738,90.33921862280481,-1552.1585249541165,3396.0042593717376,-1553.2534308646573,-0.8747731353428208,-1553.8842089616066,-0.24399503839345016
14.xyz,-1552.866415,-1.9620421318886345,0.1552985446361131,-4994.703546614852,82.48898091389846,-1550.9043728681113,3441.837131614852,-1553.1042144641913,0.23779946419131193,-1554.4709506933116,1.6045356933116182
15.xyz,-1551.37442,-1.8340663083402027,0.1509089216051934,-4762.460464113441,121.61804982446543,-1549.54035369166,3211.086044113441,-1550.6037159972846,-0.7707040027155472,-1551.4136611125289,0.03924111252877083
16.xyz,-1550.84607,-1.7902929538085461,0.1370627160241613,-4582.061323620834,232.74699817936448,-1549.0557770461915,3031.2152536208337,-1549.7484356571167,-1.0976343428833388,-1549.0388544803147,-1.8072155196853146
17.xyz,-1551.374404,-1.8341230726310842,0.150998827557447,-4762.624161443974,121.31937724750597,-1549.540280927369,3211.249757443974,-1550.6048251053833,-0.7695788946166431,-1551.41581605354,0.041412053540170746
18.xyz,-1544.773777,-1.6421431679114198,0.1722828855507226,-4455.277417774836,144.02150435371905,-1543.1316338320887,2910.5036407748357,-1546.8537614738473,2.079984473847162,-1547.369848410558,2.5960714105578973
19.xyz,-1549.039125,-1.7200673954705603,0.13879460764064092,-4615.226003941572,55.041338755595625,-1547.3190576045295,3066.186878941572,-1548.3763100782933,-0.6628149217067403,-1549.4754402787055,0.4363152787054787
20.xyz,-1550.802695,-1.8532951306677443,0.13529227453954507,-4875.760490820169,44.39251157718159,-1548.9493998693324,3324.957795820169,-1550.9794247789691,0.1767297789690474,-1552.905162979547,2.102467979546873
